Instance,Type,Variant,Support,z,Status,Time,Omega,epsilon,delta,gamma,L
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,913246.035,Optimal,0,0,0.2,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,913246.035,Optimal,0,0,0.2,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,913246.035,Optimal,0,0,0.2,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,970601.33375,Optimal,0,0,0.3,0.8,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,970601.33375,Optimal,0,0,0.3,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,970601.33375,Optimal,0,0,0.3,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,970601.33375,Optimal,0,0,0.3,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1027310.4925,Optimal,0,0,0.4,0.8,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1027310.4925,Optimal,0,0,0.4,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1027310.4925,Optimal,0,0,0.4,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1027310.4925,Optimal,0,0,0.4,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1082427.48125,Optimal,0,0,0.5,0.8,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1082427.48125,Optimal,0,0,0.5,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1082427.48125,Optimal,0,0,0.5,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1082427.48125,Optimal,0,0,0.5,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1136953.89,Optimal,0,0,0.6,0.8,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1136953.89,Optimal,0,0,0.6,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1136953.89,Optimal,0,0,0.6,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1136953.89,Optimal,0,0,0.6,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1190912.98,Optimal,0,0,0.7,0.8,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1190912.98,Optimal,0,0,0.7,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1190912.98,Optimal,0,0,0.7,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1190912.98,Optimal,0,0,0.7,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1244460.47,Optimal,0,0,0.8,0.8,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1244460.47,Optimal,0,0,0.8,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1244460.47,Optimal,0,0,0.8,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1244460.47,Optimal,0,0,0.8,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1298007.96,Optimal,0,0,0.9,0.8,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1298007.96,Optimal,0,0,0.9,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1298007.96,Optimal,0,0,0.9,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1298007.96,Optimal,0,0,0.9,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1351550.35,Optimal,0,0,1,0.8,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1351550.35,Optimal,0,0,1,0.85,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1351550.35,Optimal,0,0,1,0.9,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1351550.35,Optimal,0,0,1,0.95,0.25,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,796648.437499997,Optimal,0,0,0,1,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,858153.12125,Optimal,0,0,0.1,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,858153.12125,Optimal,0,0,0.1,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,858153.12125,Optimal,0,0,0.1,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,858153.12125,Optimal,0,0,0.1,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,918922.205,Optimal,0,0,0.2,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,918922.205,Optimal,0,0,0.2,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,918922.205,Optimal,0,0,0.2,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,918922.205,Optimal,0,0,0.2,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,979115.58875,Optimal,0,0,0.3,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,979115.58875,Optimal,0,0,0.3,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,979115.58875,Optimal,0,0,0.3,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,979115.58875,Optimal,0,0,0.3,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1039308.9725,Optimal,0,0,0.4,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1039308.9725,Optimal,0,0,0.4,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1039308.9725,Optimal,0,0,0.4,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1039308.9725,Optimal,0,0,0.4,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1099502.35625,Optimal,0,0,0.5,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1099502.35625,Optimal,0,0,0.5,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1099502.35625,Optimal,0,0,0.5,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1099502.35625,Optimal,0,0,0.5,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1159695.74,Optimal,0,0,0.6,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1159695.74,Optimal,0,0,0.6,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1159695.74,Optimal,0,0,0.6,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1159695.74,Optimal,0,0,0.6,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1219493.4825,Optimal,0,0,0.7,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1219493.4825,Optimal,0,0,0.7,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1219493.4825,Optimal,0,0,0.7,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1219493.4825,Optimal,0,0,0.7,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1278810.305,Optimal,0,0,0.8,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1278810.305,Optimal,0,0,0.8,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1278810.305,Optimal,0,0,0.8,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1278810.305,Optimal,0,0,0.8,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1338127.1275,Optimal,0,0,0.9,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1338127.1275,Optimal,0,0,0.9,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1338127.1275,Optimal,0,0,0.9,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1338127.1275,Optimal,0,0,0.9,0.95,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1397438.85,Optimal,0,0,1,0.8,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1397438.85,Optimal,0,0,1,0.85,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1397438.85,Optimal,0,0,1,0.9,0.3,1
data/orLibrary/cap101,OR Library,budget,Budget Uncertainty Set,1397438.85,Optimal,0,0,1,0.95,0.3,1
